Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
14 February 2022	True	задержанный украинский разведчик раскрыл план всу по захвату донбасса   наиболее важные   новости киац   каталог статей	81935	(?=.*).*	(донбасс)	(обстрел|всу|наци)
3 January 2022	True	в лнр заявили о размещении бронетехники всу в жилых районах донбасса	76912	(?=.*).*	(донбасс)	(обстрел|всу|наци)
24 January 2022	True	мёртвому припарка  почему  джавелины  и  стингеры  не помогут всу в случае нападения на донбасс	67219	(?=.*).*	(донбасс)	(обстрел|всу|наци)
24 January 2022	True	почему  джавелины  и  стингеры  не помогут всу в случае нападения на донбасс	67214	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	обстрелы республик продолжаются  седьмой день военной спецоперации россии по защите донбасса  онлайн	67340	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	залповая атака по националистам  появилось видео боевого применения тос  а  солнцепёк  в донбассе	76890	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	в харьковской области обнаружен документ о подготовке нападения всу на донбасс	102339	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	капкан для правобережной украины  как армия рф уничтожает логистику всу и варит донбасский котёл	83826	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	поезд победы  дополнили вагонами о преступлениях украинских неонацистов в донбассе	66814	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	ск рф предъявил обвинение ещё четверым бойцам всу за обстрел донбасса	86349	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	окружение северодонецка  потери всу в донбассе и тактика россии на украине	90206	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	потери всу в донбассе  мобилизация на украине в      году  численность армии украины  сколько танков на украине	119625	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	северодонецк на карте  боевые действия на украине  потери всу на украине       метёлкино на карте донбасса	110506	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	кафе у стадиона  донбасс арена  загорелось в ходе обстрела всу донецка	127194	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	окружение всу в донбассе  карта боевых действий на украине  наступление российской армии  потери украины в      году	107181	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	карта боевых действий на украине  почему всу не хотят отходить из донбасса  куда продвинулась российская армия на украине  потери всу в      году	94730	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	окружение всу в донбассе  потери украины в      году  наступление россии на украине	68794	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	взятие северска  наступление на славянск и краматорск  потери всу  освобождение донбасса	89183	(?=.*).*	(донбасс)	(обстрел|всу|наци)
24 January 2022	True	в днр заявили о подготовке всу к наступлению в донбассе	195973	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	ск рф возбудил два уголовных дела по фактам обстрелов донбасса со стороны всу	195240	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	съемочная группа военкора rt попала под обстрел в донбассе	194149	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	глава крыма предложил отправить пленных нацистов восстанавливать донбасс	83597	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	депутат государственной думы михаил романов   мы освободили донбасс от нацистов  теперь мы должны освободить его от разрухи	103166	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 April 2022	True	днр и рф хотят  взять в клещи  всушников в донбассе	97888	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 April 2022	True	вс россии готовят для всу множество  сюрпризов  в донбассе	68530	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 April 2022	True	группировка всу на донбассе получила оружие  которого не было в мариуполе	93438	(?=.*).*	(донбасс)	(обстрел|всу|наци)
18 April 2022	True	всу ночью запускали  точки у  в сторону рф и донбасса	117262	(?=.*).*	(донбасс)	(обстрел|всу|наци)
18 April 2022	True	российский  солнцепёк  сжигает позиции всу в донбассе	101474	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	российская армия устроит три котла для донбасской группировки всу через месяц   кнутов	106934	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	зеленский начнет лебезить перед россией после разгрома всу в донбассе   кнутов	83766	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	силам всу в донбассе осталось две три недели   военный эксперт	92212	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	леонков объяснил  в каком случае группировка всу покинет донбасс	82724	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	всу терпит крупные потери в донбассе	86474	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	ск рф установил причастных к обстрелу в донбассе	87040	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	сивков объяснил  почему уничтожение всу в донбассе идёт медленно	89000	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	всу готовят второй мариуполь в донбассе   военкор котенок	80164	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	ск рф расследует преступления националистов и наёмников из польши в донбассе	110292	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	кнутов назвал три  котла   которые грозят всу в донбассе и сроки их ликвидации	122440	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	мы всегда так бьём   как россия уничтожила     боевиков всу в донбассе  рассказал военный обозреватель	109934	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	в  малых котлах  донбасса около    тысяч солдат всу	87371	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	пленный националист из  донбасса   рассказал об офицерских потерях киева	73021	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	всу в донбассе обездвижены   макгрегор	121503	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	подорвавшийся на мине российский танк выступил в роли приманки для всу в донбассе	124947	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	леонков  запад приступил к плану  б  после осознания полного провала всу в донбассе	124916	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	всу не смогут противостоять наступлению вс рф в донбассе   генерал домрезе	96231	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	всу пойдут атаковать херсон после поражения в донбассе   леонков	103196	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	известный нацбат всу  донбасс  сбежал с передовой	80299	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	какую тактику применяют всу в донбассе  рассказал военный эксперт подопригора	72965	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	исход всу из донбасса произойдёт в течение нескольких недель   военный эксперт	119967	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	исход всу из донбасса произойдёт в течение нескольких недель  сообщил военный эксперт	119985	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	спецназ росгвардии захватил крупную партию вооружения всу в донбассе	90640	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	командование всу требуют от зеленского отступления в донбассе	125609	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	безсонов  всу загнали в два  малых котла  в донбассе	104317	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	россия готовит для всу ловушку в донбассе   бывший советник цру рикардс	121110	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	верховная рада украины  всу только в донбассе теряют до      военных в сутки	119179	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	верховная рада украины  всу только в донбассе теряют до тысячи военных в сутки	119174	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	операция по перемалыванию донбасского фронта всу подходит к концу   кедми	120933	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	разведчики юво вс рф захватили подразделение всу в донбассе	92007	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	разведчики юво вс рф захватили подразделение всу на донбассе	92016	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	боевики всу применяют новую тактику в донбассе   ходаковский	113304	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	солнцепёк  выжигает позиции всу в донбассе	126989	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	видеокадры реального боя вс рф против всу в лесах донбасса	127724	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	росгвардия захватила танк т    всу в донбассе	124605	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	уральские добровольцы прибыли громить нацистов донбасса	106843	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	в донбасс прибывают новые партии сау  пион  для ликвидации укрепрайонов всу	123197	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	в донбасс прибыли новые партии сау  пион  для ликвидации укрепрайонов всу	123135	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	всу начали применять новую тактику в донбассе	105519	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	военный эксперт назвал месяц  когда донбасс будет освобождён от всу	95947	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	боевики всу потеряли способность к системной обороне в донбассе	92598	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	вс рф начнут использовать тяжёлые виды вооружения на украине после разгрома всу в донбассе   безпалько	124163	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	что начнётся в донбассе в ближайшее время  всу будут цепляться за харьков	125752	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	алёхин рассказал  почему всу точно сбегут из донбасса в сторону днепропетровска	125751	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	в донбассе боевики всу взорвались от своей же гранаты на бпла	125979	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	отважные  выпустили по всу    ракет возмездия  отомстив за гибель детей в донбассе	115364	(?=.*).*	(донбасс)	(обстрел|всу|наци)
18 July 2022	True	сладков рассказал о бардаке в окопах всу в донбассе   полчище нерях и лентяев	103349	(?=.*).*	(донбасс)	(обстрел|всу|наци)
18 July 2022	True	шойгу приказал пресекать удары всу по донбассу	121638	(?=.*).*	(донбасс)	(обстрел|всу|наци)
18 July 2022	True	арестович  поставки систем himars помогут всу навести  шороху  в донбассе	114228	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 July 2022	True	профессионалов в всу в донбассе не осталось   безсонов	115064	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 July 2022	True	всу при обороне в донбассе укрываются в лесопосадках   нм днр	123371	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 July 2022	True	евсеев  вс рф смогут противостоять всу в херсоне  не оставляя донбасс	104549	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 July 2022	True	фронт всу в донбассе затрещал от марьинки до соледара   подоляка	110892	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 December 2021	True	всу стягивают силы к занятой ими школе в донбассе	142691	(?=.*).*	(донбасс)	(обстрел|всу|наци)
24 January 2022	True	в днр сообщили  что всу перебрасывают в донбасс танки и рсзо	146759	(?=.*).*	(донбасс)	(обстрел|всу|наци)
31 January 2022	True	сколько продержится донбасс при агрессии всу  экс ополченец индус оценил силы	135900	(?=.*).*	(донбасс)	(обстрел|всу|наци)
31 January 2022	True	украинская армия обстреляла донбасс боеприпасами нато	136493	(?=.*).*	(донбасс)	(обстрел|всу|наци)
31 January 2022	True	на донбассе объявлена всеобщая мобилизация  на принудительную вакцинацию	138094	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	ветеран лнр рассказал  зачем всу выдвинули к донбассу две танковые роты	139118	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	обстрел донбасса усилил падение рубля и российского рынка акций	138494	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	хотели спровоцировать наступление  на донбассе объяснили причину интенсивных обстрелов	138562	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	всу  украина не планирует наступательных операций в донбассе	138104	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	депутаты от  слуги народа  попали под обстрел в донбассе	137746	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	эксперты оценили намерение всу взять донбасс за три дня	137702	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	первый суд над украинскими неонацистами и наемниками состоится на донбассе	151112	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	танкист рассказал об особенностях тактики всу на донбассе	149760	(?=.*).*	(донбасс)	(обстрел|всу|наци)
31 January 2022	True	народная милиция лнр заявила о подвозе всу боеприпасов к линии соприкосновения в донбассе	334299	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	украина инсценировала обстрел детского сада в донбассе	329414	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	жительница обстрелянного дома в донбассе   с      года такого не было  хорошо  что дети были в школе	329121	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	жительница обстрелянного дома в донбассе   с      года такого не по было  хорошо  что дети были в школе	329245	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	жительница обстрелянного дома в донбассе   с      года такого не по было  хорошо  что дети были в школе	329612	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	съемочная группа rt arabic попала под обстрел со стороны всу в донбассе	46294	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	председатель нижегородского совета отцов пострадал в донбассе во время обстрела	98091	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	аналитик алехин сообщил о ликвидации     группировки всу в донбассе	421790	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	политолог оценил предложение аксенова направить пленных военных всу восстанавливать донбасс	421778	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	всу приговорены  сивков раскрыл хитрую тактику неполных котлов в донбассе	421822	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	в всу участились случаи исчезновения разведывательных беспилотников в донбассе	426926	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	политолог безпалько о котлах в донбассе  в планы зеленского не входит спасение жизней военнослужащих всу	425268	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	события в донбассе на          мая  украинские мины мешают фермерам днр  разрушение обороны всу под светлодарском	424793	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	сивков объяснил  чем обернется для всу стремительное бегство из донбасского котла	423807	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	командир российской бригады зрк рассказал об уничтожении дронов всу над донбассом	437221	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	события в донбассе на          июня  в мариуполь вернулись     полицейских      бойцов всу покинули лисичанск	438313	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	литовкин  россия для защиты донбасса должна оттеснить всу на сто километров от границ	433997	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	события в донбассе на          июня  всу несут крупные потери  территория нпз в лисичанске под контролем союзных сил	433948	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	himars в донбассе  всу с помощью рсзо сша начали использовать коварную тактику	421361	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	события в донбассе на         июля  названы потери всу в лнр  назначен глава северодонецка	437179	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	бойцы всу назвали  адом на земле  службу на передовых позициях в донбассе	437303	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	союзные силы за сутки уничтожили более    украинских националистов в донбассе	438158	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	леонков заявил об обрушении обороны всу в донбассе	428803	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	минобороны  всу разместили опорные пункты в больницах донбасса	421968	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	солдаты всу пожаловались на плохое отношение жителей донбасса к украинской армии	430740	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	военнослужащая всу пожаловалась на враждебное отношение со стороны жителей донбасса	430645	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	военный эксперт подоляка объяснил новую тактику всу в донбассе	430433	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	безсонов  наступление вс рф пойдет быстрей после разгрома всу в донбассе	430466	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	полковник запаса безсонов оценил положение всу в донбассе	430558	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	школьница из донбасса выступила против геноцида детей и стала  мишенью  украинских националистов	415297	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	войска днр ведут огонь по позициям всу снарядами с надписью  за детей донбасса	415309	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	события в донбассе на         июля  всу обстреляли лнр из himars  днр и крым выстраивают взаимодействие	435446	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	подберезкин назвал террором артиллерийские удары всу по мирным городам донбасса	432254	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	зеленский разозлился на командование всу из за разгрома украинских войск в донбассе	432259	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	военные нм днр рассказали журналистам о боях с националистами  азова  в донбассе	434678	(?=.*).*	(донбасс)	(обстрел|всу|наци)
18 July 2022	True	обстрелы населенных пунктов украины и донбасса  министр обороны шойгу дал указание жестко пресекать обстрелы    июля      года   власть   новости санкт петербурга	452984	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 December 2021	True	в лнр заявили  что всу заняли школу в донбассе   газета ru	311431	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	песков  в донбассе сохраняется высокий уровень угрозы нападения всу	412768	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	скр возбудил дело по факту обнаружения массовых захоронений жертв всу в донбассе	411852	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	песков  ситуация в донбассе значительно обострилась из за провокаций со стороны всу	409911	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	война  которая нужна западу   почему всу вновь обостряют ситуацию в донбассе	413151	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	военнослужащие народной милиции лнр сбили беспилотник всу в донбассе	410874	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	ценовые качели  как нефтяной рынок и курс валют отреагировали на обстрелы в донбассе	409362	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	депутат госдумы елена драпеко предложила  закрыть  небо над донбассом от дронов всу	410551	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	зеленский посетил передовые позиции всу в донбассе	409960	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	ветеран войны в донбассе  вероятность крупномасштабного наступления всу высока как никогда	410623	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	представитель лнр мирошник раскусил хитрость украины с необычными обстрелами донбасса	410668	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	аналитик шурыгин  оружие западного производства не спасет всу от разгрома в донбассе	409279	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	глава днр пушилин  всу готовы к силовому захвату донбасса	410447	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	нм днр  всу хотят разрушить инфраструктуру на протяжении    км за линией фронта в донбассе	407881	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	народная милиция днр  всу продолжают обстрелы донбасса	408888	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	военкор коц  вся огневая мощь всу сейчас направлена на республики донбасса	408182	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	ополченец днр рассказал  как жители донбасса реагируют на провокации всу	408722	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	евросоюз раскритиковал обстрелы донбасса	421251	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	cnn  журналисты cnn и afp оказались под обстрелом в донбассе	421267	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	ск россии возбудил дела после обстрела и гибели людей в донбассе	407786	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	кнутов призвал не обострять ситуацию в донбассе после обстрела всу ростовской области	411338	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	полянский  запад игнорирует обстрел территорий донбасса со стороны украины	412378	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	достаточно одной громкой провокации   всу продолжают обострять ситуацию в донбассе	407799	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	запрет на поставку горюче смазочных материалов  что поможет спасти донбасс от обстрелов всу	407604	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	песков объяснил эвакуацию граждан донбасса агрессивными действиями всу	413832	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	депутат валуев не исключает применения всу и нацбатами химического оружия в донбассе	408008	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	нынешняя агрессия всу несет более угрожающий характер  жители республик донбасса устали от войны	412625	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	постпред россии при оон небензя указал на необходимость остановить обстрелы всу по донбассу	409572	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	политэксперт мошкин оценил наступательный план всу на донбасс	411427	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	гонения  дискриминация  убийства  почему действия украины в донбассе можно назвать геноцидом	411517	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	ветеран войны в донбассе рассказал  что ждет всу после признания днр и лнр	410006	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	военкор фридрихсон показала последствия обстрелов всу в донбассе	409318	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	киев не исключает диалог с москвой  всу атаковали днр  как проходит спецоперация рф по защите донбасса	408688	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	придется отвечать   что грозит зеленскому за обстрелы донбасса	414445	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	глава скр бастрыкин провел совещание по преступлениям всу против мирных жителей донбасса	408683	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	прорыв обороны всу и вечерняя атака в донбассе  хроника событий на украине    февраля	419217	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	запашный призвал зеленского посмотреть  во что превратился донбасс за восемь лет обстрелов	410046	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	слесарь  донбассгаза  стал жертвой обстрела в донецке	413659	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	погибшего под обстрелами всу сотрудника  донбассгаза  проводили в последний путь	417606	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	народная милиция днр  всу потеряли      человек личного состава в ходе боев в донбассе	422474	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	в россии возбудили еще два уголовных дела после обстрелов жителей донбасса со стороны всу	422476	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	джаралла о возможности водной блокады донбасса  зажатые в угол нацисты готовы идти на крайности	422203	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	глава ск рф поручил ускорить сбор доказательств преступлений всу на донбассе   федеральное агентство новостей no	423562	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 December 2021	True	попытки всу заглушить сигналы бпла обсе ухудшили мобильную связь и сигнал тв в донбассе   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	119766	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 December 2021	True	закончить войну  всу готовятся к масштабному нападению на донбасс   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	76832	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 December 2021	True	на передовых позициях на донбассе от алкоголя и наркотиков погибли двое всушников   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	76477	(?=.*).*	(донбасс)	(обстрел|всу|наци)
17 January 2022	True	трое бойцов всу сбежали с позиций в донбассе   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	70369	(?=.*).*	(донбасс)	(обстрел|всу|наци)
7 February 2022	True	британия натаскивает всу на войну с донбассом  а в киеве кричат о  войне с россией    последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	67486	(?=.*).*	(донбасс)	(обстрел|всу|наци)
7 February 2022	True	в днр заявили об увеличении интенсивности обстрелов в донбассе   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	67487	(?=.*).*	(донбасс)	(обстрел|всу|наци)
7 February 2022	True	донбасс может рассчитывать на помощь рф в случае атаки всу   глава днр пушилин   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	78972	(?=.*).*	(донбасс)	(обстрел|всу|наци)
7 February 2022	True	боец всу погиб во время учений в донбассе   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	70026	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	учебные центры всу и нацгвардии досрочно направляют выпускников в донбасс   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	81928	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	учебные центры всу и нацгвардии досрочно направляют выпускников в донбасс   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	110350	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	the telegraph  зеленский разозлился на своих генералов за разгром всу в донбассе	108479	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 July 2022	True	всу возобновили обстрелы населенных пунктов донбасса	109329	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 July 2022	True	ск возбудил уголовное дело против солдат всу  которые причастны к гибели жителей донбасса	102104	(?=.*).*	(донбасс)	(обстрел|всу|наци)
18 July 2022	True	жители днр  вставшие на защиту родины от неонацистов  продолжают освобождать донбасс	71212	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 July 2022	True	сирийцы на донбассе получат шанс осудить нацизм  с которым воевали еще в середине прошлого века	119327	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 March 2022	True	ск рф возбудил два новых дела по обстрелам донбасса	73056	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	посол рф в сша  россия не могла оставить донбасс на растерзание неонацистам	89049	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	сми  силы всу в донбассе находятся в бедственном положении	121053	(?=.*).*	(донбасс)	(обстрел|всу|наци)
